ts_s,label,pid,cpu_pct,rss_kb
0,spike,74297,0.0,4144
1,spike,74297,0.4,15792
2,spike,74297,0.0,15792
3,spike,74297,0.0,15792
4,spike,74297,0.0,15792
5,spike,74297,0.0,15568
6,spike,74297,0.0,15600
7,spike,74297,0.0,15632
8,spike,74297,0.0,15648
9,spike,74297,0.0,15696
10,spike,74297,0.0,15696
11,spike,74297,0.0,15696
12,spike,74297,0.0,15696
13,spike,74297,0.1,15696
14,spike,74297,0.1,15696
15,spike,74297,0.1,15696
16,spike,74297,0.0,15696
17,spike,74297,0.0,15696
18,spike,74297,0.1,15696
19,spike,74297,0.0,15696
20,spike,74297,0.1,15696
21,spike,74297,0.1,15600
22,spike,74297,0.0,15600
23,spike,74297,0.0,15680
24,spike,74297,0.0,15680
25,spike,74297,0.1,15680
26,spike,74297,0.1,15680
27,spike,74297,0.1,15680
28,spike,74297,0.1,15584
29,spike,74297,0.1,15584
30,spike,74297,0.0,15648
31,spike,74297,0.0,15680
32,spike,74297,0.1,15680
33,spike,74297,0.1,15680
34,spike,74297,0.0,15680
35,spike,74297,0.0,15680
36,spike,74297,0.0,15584
37,spike,74297,0.0,15648
38,spike,74297,0.0,15680
39,spike,74297,0.0,15680
40,spike,74297,0.0,15680
41,spike,74297,0.0,15680
42,spike,74297,0.1,15680
43,spike,74297,0.0,15584
44,spike,74297,0.0,15680
45,spike,74297,0.0,15696
46,spike,74297,0.0,14656
47,spike,74297,0.0,13600
48,spike,74297,0.0,14144
49,spike,74297,0.0,13168
50,spike,74297,0.0,13184
51,spike,74297,0.1,14064
52,spike,74297,0.0,13776
53,spike,74297,0.0,13904
54,spike,74297,0.0,13120
55,spike,74297,0.0,13040
56,spike,74297,0.0,13040
57,spike,74297,0.0,13040
